id	paper	permanent_id	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
1	378	GF04009014S	topsoil	27.167	100.167	Asia	2015	2015	forest	gITS7ngs/ITS4ngsUni	0.8	1063	NA	NA	56065	0	5
12	835	GF01000707S	soil	-17.507	123.735	Australia	2011	2011	woodland	ITS1F/ITS4	28.4	739	6.7	2.1	1993697	0	12185
14	843	GF01000271S	soil	42.4094	-71.3318	North America	2013	2013	forest	fITS7/ITS4	10.1	1279	5	32.1	178167	0	11
16	378	GF04012151S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	524219	0	15
17	378	GF04012150S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	567543	0	20
22	378	GF04009017S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1268797	0	1977
23	378	GF04009016S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	2049326	0	19
42	378	GF04009021S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	875750	0	216
43	378	GF04009020S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	185003	0	28
47	378	GF04009088S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	647441	0	8
49	378	GF04010153S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	793741	0	50
52	835	GF01000710S	soil	-35.0974	138.671	Australia	2014	2014	woodland	ITS1F/ITS4	14.6	773	5.9	3.9	175037	0	2
53	529	GF03007285S	rhizosphere soil	38.0321	128.463	Asia	2018	2018	forest	ITS3/ITS4	8.1	1382	5.4	22.6	179123	0	5
54	835	GF01000743S	soil	-43.1094	146.837	Australia	2015	2015	forest	ITS1F/ITS4	11.2	1106	5	9.7	151915	0	2
56	378	GF04009029S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	724326	0	1
57	378	GF04009032S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1031190	0	56
58	378	GF04009031S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1075620	0	3
59	378	GF04009026S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1224677	0	2306
60	378	GF04009028S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1247470	0	4
61	378	GF04009030S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	927704	0	3
62	378	GF04009027S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1251438	0	4
65	722	GF01012111S	soil	36.7584	12.021	Europe	2013	2013	forest	ITS3/ITS4	16.6	533	6.6	6.8	436973	0	5
67	35	GF05027781S	soil	29.207	119.649	Asia	2017	2017	shrubland	gITS7/ITS4	15.1	1855	5.5	8.9	106879	0	18
71	378	GF04009033S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	899153	0	14
72	408	GF04005551S	litter	56.848	59.863	Asia	2017	2017	forest	fITS7/ITS4	1.6	512	4.9	20.3	86665	0	1
73	378	GF04009406S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	787716	0	402
74	461	GF04001652S	soil	51.3589	10.5269	Europe	2011	2011	forest	fITS7/ITS4	7.1	803	5.5	18.7	35716	0	1
85	378	GF04009039S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	761299	0	239
86	378	GF04009040S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	586283	0	47
87	378	GF04009041S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	536135	0	47
89	350	GF04019626S	sediment	20.1158	158.804	Pacific Ocean	2017	2017	aquatic	ITS1F/ITS2	NA	NA	NA	NA	73336	0	130
93	378	GF04009042S	topsoil	21.61	101.57	Asia	2016	2016	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	597458	0	1
94	378	GF04009043S	topsoil	24.53	101.02	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1036585	0	4
97	50	GF05025970S	soil	47.04	8.71	Europe	2014	2014	forest	ITS3/ITS4	5.9	2128	5	18.1	49933	0	194
99	401	GF04006211S	root	49.1635	13.3378	Europe	2015	2015	forest	gITS7/ITS4	5.9	956	4.4	24.3	6629	0	25
100	401	GF04006212S	root	48.8133	13.9411	Europe	2016	2016	forest	gITS7/ITS4	6.9	742	4.7	21.1	34533	0	489
103	267	GF05005849S	soil	28.3091	99.15	Asia	2017	2017	forest	ITS1F/ITS4 then ITS3/ITS4	5.5	624	6.1	23.9	112354	0	1661
107	173	GF05015163S	soil	38.4397	-112.068	North America	2019	2019	forest	ITS3/ITS4	3	318	6	11.6	117251	0	1
108	378	GF04010378S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	848229	0	9
113	378	GF04009047S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	424007	0	544
114	378	GF04011656S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	154398	0	30
122	378	GF04010843S	topsoil	21.61	101.57	Asia	2016	2016	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	1158948	0	1
126	843	GF01000272S	soil	41.3915	-73.956	North America	2013	2013	forest	fITS7/ITS4	11.7	909	6	14.4	133378	0	2
136	266	GF05005962S	soil	53.1314	10.7975	Europe	2017	2017	forest	ITS3_KYO2/ITS4	8.9	664	4.5	18.5	63737	0	338
138	221	GF05011292S	soil	43.239	-85.7427	North America	2017	2017	cropland	ITS1F/ITS2	8.5	854	6.1	10.1	145372	0	6
139	378	GF04009051S	topsoil	21.61	101.57	Asia	2016	2016	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	510321	0	37
141	378	GF04009052S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	754922	0	101
143	378	GF04009053S	topsoil	21.61	101.57	Asia	2016	2016	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	763967	0	21
144	211	GF05012327S	soil	41.8694	2.87528	Europe	2013	2013	forest	ITS1F/ITS2	15.8	733	7.1	4.3	453404	0	21
146	378	GF04009015S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1232522	0	53
147	50	GF05026126S	soil	47.56	8.2	Europe	2014	2014	cropland	ITS3/ITS4	10	1005	5.6	11.3	17961	0	43
161	378	GF04009055S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	909386	0	379
163	378	GF04009553S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	656987	0	48
164	378	GF04009018S	topsoil	24.53	101.02	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	109282	0	4
183	713	GF01012577S	soil	35.9195	138.831	Asia	2016	2016	forest	gITS7/ITS4ngs	10.2	1040	5.3	26.4	34497	0	397
184	378	GF04009059S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1104033	0	48
185	461	GF04001580S	soil	51.1047	10.4051	Europe	2011	2011	forest	fITS7/ITS4	7.9	726	5.6	17.8	29277	0	16
187	422	GF04004782S	soil	29.5608	101.97	Asia	2014	2014	shrubland	ITS3_KYO2/ITS4	4.8	771	NA	NA	22190	0	10
190	378	GF04009060S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	839902	0	104
199	378	GF04009074S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1179783	0	136
200	378	GF04009075S	topsoil	27.167	100.167	Asia	2015	2015	forest	gITS7ngs/ITS4ngsUni	0.8	1063	NA	NA	30933	0	8
206	378	GF04009077S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1317909	0	1
207	461	GF04001547S	soil	51.1311	10.3854	Europe	2011	2011	forest	fITS7/ITS4	8	665	5.7	16	35842	0	4
208	835	GF01000730S	soil	-32.7484	138.136	Australia	2013	2013	woodland	ITS1F/ITS4	14.7	463	6.4	6.9	267382	0	1
210	835	GF01000731S	soil	-13.6812	143.14	Australia	2015	2015	forest	ITS1F/ITS4	25.4	1209	6	0.5	223121	0	8
213	378	GF04009078S	topsoil	21.61	101.57	Asia	2016	2016	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	818613	0	296
214	378	GF04009079S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	308223	0	20681
218	378	GF04009080S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	652670	0	41
221	286	GF05004426S	mosses	9.75	-83.78	North America	2015	2015	forest	5.8S_Fun/ITS4_Fun	18.3	4827	5	11.6	322281	0	2
222	171	GF05015573S	soil	-38.6607	-72.6	South America	2020	2020	forest	ITS3/ITS4	11.6	1382	5.2	7.6	127983	0	5197
223	378	GF04010246S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	534459	0	45
225	378	GF04009469S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1402909	0	32
232	624	GF02001352S	soil	54.3333	-123.267	North America	2015	2015	forest	ITS86F/ITS4	3.6	670	5.2	29.3	430390	0	6
234	835	GF01000735S	soil	-33.6157	150.722	Australia	2015	2015	woodland	ITS1F/ITS4	17.6	903	5.9	4.2	117479	0	6587
237	378	GF04009085S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	927318	0	59
238	566	GF03004604S	soil	46.4053	10.5849	Europe	2015	2015	tundra	ITS1F/ITS2	-1.5	960	NA	NA	1523070	0	4
242	378	GF04010508S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1177861	0	204
244	664	GF01018337S	soil	-27.3309	-65.9513	South America	2011	2013	forest	fITS7/ITS4	14.6	714	5.8	2.8	537204	0	807
