id,scientificName,latitude,longitude,eventDate,basisOfRecord,occurrenceStatus,datasetName,institutionCode,abundance
1,Amanita,27.167,100.167,2015-01-01,MaterialSample,present,Amanita_study,GBIF,5
12,Amanita,-17.507,123.735,2011-01-01,MaterialSample,present,Amanita_study,GBIF,12185
14,Amanita,42.4094,-71.3318,2013-01-01,MaterialSample,present,Amanita_study,GBIF,11
16,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,15
17,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,20
22,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1977
23,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,19
42,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,216
43,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,28
47,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,8
49,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,50
52,Amanita,-35.0974,138.671,2014-01-01,MaterialSample,present,Amanita_study,GBIF,2
53,Amanita,38.0321,128.463,2018-01-01,MaterialSample,present,Amanita_study,GBIF,5
54,Amanita,-43.1094,146.837,2015-01-01,MaterialSample,present,Amanita_study,GBIF,2
56,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,1
57,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,56
58,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,3
59,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,2306
60,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,4
61,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,3
62,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,4
65,Amanita,36.7584,12.021,2013-01-01,MaterialSample,present,Amanita_study,GBIF,5
67,Amanita,29.207,119.649,2017-01-01,MaterialSample,present,Amanita_study,GBIF,18
71,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,14
72,Amanita,56.848,59.863,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1
73,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,402
74,Amanita,51.3589,10.5269,2011-01-01,MaterialSample,present,Amanita_study,GBIF,1
85,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,239
86,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,47
87,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,47
89,Amanita,20.1158,158.804,2017-01-01,MaterialSample,present,Amanita_study,GBIF,130
93,Amanita,21.61,101.57,2016-01-01,MaterialSample,present,Amanita_study,GBIF,1
94,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,4
97,Amanita,47.04,8.71,2014-01-01,MaterialSample,present,Amanita_study,GBIF,194
99,Amanita,49.1635,13.3378,2015-01-01,MaterialSample,present,Amanita_study,GBIF,25
100,Amanita,48.8133,13.9411,2016-01-01,MaterialSample,present,Amanita_study,GBIF,489
103,Amanita,28.3091,99.15,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1661
107,Amanita,38.4397,-112.068,2019-01-01,MaterialSample,present,Amanita_study,GBIF,1
108,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,9
