id	paper	permanent_id	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
136	266	GF05005962S	soil	53.1314	10.7975	Europe	2017	2017	forest	ITS3_KYO2/ITS4	8.9	664	4.5	18.5	63737	0	177
331	312	GF04015168S	soil	59.6342	24.9995	Europe	2016	2016	forest	ITS9MUNngs/ITS4ngsUni	5.9	639	5.3	14.9	2626	0	5
950	95	GF05022336S	soil	46.8844	-72.2951	North America	2017	2017	forest	fITS7/ITS4	4.9	1142	4.8	26.2	53012	0	107
1738	597	GF03000147S	soil	62.1444	25.7346	Europe	2019	2019	forest	ITS_S2F + ITS3 mixed 1:1/ITS4	3.7	673	4.8	20.3	108371	0	6
1805	408	GF04005604S	deadwood	56.848	59.863	Asia	2017	2017	forest	fITS7/ITS4	1.6	512	4.9	20.3	47956	0	27
1912	525	GF03007581S	soil	52.86	23.88	Europe	2017	2017	forest	fITS7/ITS4	7.3	617	5	13.6	51668	0	13
2182	408	GF04005559S	deadwood	56.801	59.425	Asia	2017	2017	forest	fITS7/ITS4	1.7	556	5.2	23.7	48725	0	1
2517	408	GF04005614S	litter	56.801	59.425	Asia	2017	2017	forest	fITS7/ITS4	1.7	556	5.2	23.7	26679	0	422
3666	700	GF01013635S	litter	59.6248	15.2031	Europe	2008	2008	forest	gITS7/ITS4 then ITS9/ITS4	5.9	663	4.5	17.9	2371	0	1
3989	95	GF05022307S	soil	48.5226	-79.4328	North America	2017	2017	forest	fITS7/ITS4	2.1	780	4.9	28.6	63722	0	13
4385	266	GF05005956S	soil	53.1171	10.8376	Europe	2017	2017	forest	ITS3_KYO2/ITS4	8.8	682	4.7	16.2	51553	0	12
4508	383	GF04008338S	soil	35.9219	138.813	Asia	2014	2014	forest	fITS7/ITS4	7.3	1227	5.2	28.6	56388	0	7
4778	312	GF04015188S	soil	58.0358	26.7563	Europe	2015	2015	forest	ITS9MUNngs/ITS4ngsUni	5.3	628	5.1	20.6	1724	0	1
4814	194	GF05013047S	soil	56.4553	32.9808	Europe	2014	2014	forest	ITS9MUNngs/ITS4ngsUni	4.8	686	5.4	22.6	10141	0	2
4818	312	GF04015189S	soil	58.9205	27.0112	Europe	2015	2015	forest	ITS9MUNngs/ITS4ngsUni	5.7	606	NA	NA	1427	0	2
4821	401	GF04006215S	root	48.9194	13.671	Europe	2016	2016	forest	gITS7/ITS4	6	1009	4.4	24.2	9925	0	86
4839	194	GF05013085S	soil	54.2883	57.4039	Asia	2018	2018	forest	ITS9MUNngs/ITS4ngsUni	1.7	638	5.2	22.4	34825	0	116
4843	312	GF04015191S	soil	58.2621	27.3179	Europe	2011	2011	forest	ITS9MUNngs/ITS4ngsUni	5.7	638	4.9	21.3	4114	0	1
4886	95	GF05022421S	soil	48.1268	-79.2657	North America	2017	2017	forest	fITS7/ITS4	2.5	927	5.1	24.6	57886	0	1
5065	312	GF04015193S	soil	58.9769	22.8645	Europe	2015	2015	forest	ITS9MUNngs/ITS4ngsUni	6.7	598	5.7	14.3	7158	0	13
