id,scientificName,latitude,longitude,eventDate,basisOfRecord,occurrenceStatus,datasetName,institutionCode,abundance
136,Russula bicolor,53.1314,10.7975,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,177
331,Russula bicolor,59.6342,24.9995,2016-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,5
950,Russula bicolor,46.8844,-72.2951,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,107
1738,Russula bicolor,62.1444,25.7346,2019-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,6
1805,Russula bicolor,56.848,59.863,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,27
1912,Russula bicolor,52.86,23.88,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,13
2182,Russula bicolor,56.801,59.425,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
2517,Russula bicolor,56.801,59.425,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,422
3666,Russula bicolor,59.6248,15.2031,2008-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
3989,Russula bicolor,48.5226,-79.4328,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,13
4385,Russula bicolor,53.1171,10.8376,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,12
4508,Russula bicolor,35.9219,138.813,2014-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,7
4778,Russula bicolor,58.0358,26.7563,2015-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
4814,Russula bicolor,56.4553,32.9808,2014-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,2
4818,Russula bicolor,58.9205,27.0112,2015-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,2
4821,Russula bicolor,48.9194,13.671,2016-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,86
4839,Russula bicolor,54.2883,57.4039,2018-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,116
4843,Russula bicolor,58.2621,27.3179,2011-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
4886,Russula bicolor,48.1268,-79.2657,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
5065,Russula bicolor,58.9769,22.8645,2015-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,13
5727,Russula bicolor,35.9588,138.798,2014-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,5
5767,Russula bicolor,62.2731,6.85139,2016-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,24
5879,Russula bicolor,46.4233,-72.921,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
5892,Russula bicolor,46.8795,-72.2791,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,2
6510,Russula bicolor,47.56,8.2,2016-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
7242,Russula bicolor,53.1171,10.8376,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,68
7974,Russula bicolor,59.1106,27.5785,2015-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
8031,Russula bicolor,46.5227,-73.19,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,3
8560,Russula bicolor,51.3858,104.651,2018-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,98
8774,Russula bicolor,55.1292,10.3689,2014-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,315
8869,Russula bicolor,57.5882,10.078,2014-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,136
8870,Russula bicolor,55.0178,8.98455,2014-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,143
8872,Russula bicolor,58.0267,24.6574,2016-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,13
8934,Russula bicolor,52.3413,5.9104,2018-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,6
9001,Russula bicolor,56.7009,13.110900000000001,2014-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,19
9287,Russula bicolor,57.9062,26.1043,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
9628,Russula bicolor,58.2789,27.3273,2011-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
9962,Russula bicolor,58.2038,26.8082,2014-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,2
9983,Russula bicolor,55.4295,9.4407,2018-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
10186,Russula bicolor,46.8903,-72.2939,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
10194,Russula bicolor,46.59,6.12,2019-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,2
10406,Russula bicolor,16.8333,112.333,2014-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,6
10420,Russula bicolor,46.03,8.83,2016-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,2
10421,Russula bicolor,46.03,8.83,2015-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,43
10422,Russula bicolor,46.03,8.83,2016-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,29
10423,Russula bicolor,46.03,8.83,2013-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,31
10424,Russula bicolor,46.03,8.83,2015-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,12
10426,Russula bicolor,46.03,8.83,2012-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,23
10428,Russula bicolor,46.03,8.83,2016-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,1
10429,Russula bicolor,46.03,8.83,2013-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,10
10542,Russula bicolor,61.0268,25.7997,2019-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,18
10750,Russula bicolor,55.1432,8.89773,2014-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,4
10751,Russula bicolor,52.6398,9.29817,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,634
10753,Russula bicolor,46.03,8.83,2013-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,44
10754,Russula bicolor,53.1366,10.799,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,96
11011,Russula bicolor,56.0812,-4.55615,2011-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,22
11315,Russula bicolor,56.2453,8.49395,2014-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,16
11645,Russula bicolor,52.3413,5.9104,2018-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,780
11724,Russula bicolor,52.68,23.71,2017-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,29
11725,Russula bicolor,56.57,13.7,2019-01-01,MaterialSample,present,Russula_bicolor_study,GBIF,154
